"","Date","State","TotalSamples","Negative","Positive"
"820",2020-04-22,"Arunachal Pradesh",496,441,2
"821",2020-04-24,"Arunachal Pradesh",526,508,2
"822",2020-04-26,"Arunachal Pradesh",568,529,2
"823",2020-04-27,"Arunachal Pradesh",584,566,2
"824",2020-04-28,"Arunachal Pradesh",610,581,2
"825",2020-04-29,"Arunachal Pradesh",662,595,2
"826",2020-04-30,"Arunachal Pradesh",694,656,2
"827",2020-05-01,"Arunachal Pradesh",724,692,2
"828",2020-05-03,"Arunachal Pradesh",810,761,2
"829",2020-05-04,"Arunachal Pradesh",869,762,2
"830",2020-05-05,"Arunachal Pradesh",970,814,2
"831",2020-05-06,"Arunachal Pradesh",1039,857,2
"832",2020-05-07,"Arunachal Pradesh",1144,952,2
"833",2020-05-08,"Arunachal Pradesh",1354,1015,2
"834",2020-05-09,"Arunachal Pradesh",1597,1266,2
"835",2020-05-10,"Arunachal Pradesh",1823,1363,2
"836",2020-05-11,"Arunachal Pradesh",2078,1538,2
"837",2020-05-12,"Arunachal Pradesh",2257,1798,2
"838",2020-05-13,"Arunachal Pradesh",2483,1902,2
"839",2020-05-14,"Arunachal Pradesh",2677,2233,2
"840",2020-05-15,"Arunachal Pradesh",2942,2546,2
"841",2020-05-16,"Arunachal Pradesh",3163,2861,2
"842",2020-05-17,"Arunachal Pradesh",3349,2966,2
"843",2020-05-18,"Arunachal Pradesh",3662,3166,2
"844",2020-05-19,"Arunachal Pradesh",3941,3392,2
"845",2020-05-20,"Arunachal Pradesh",4157,3710,2
"846",2020-05-21,"Arunachal Pradesh",4438,3963,2
"847",2020-05-22,"Arunachal Pradesh",4844,4211,2
"848",2020-05-23,"Arunachal Pradesh",5206,4340,2
"849",2020-05-24,"Arunachal Pradesh",5428,4552,2
"850",2020-05-25,"Arunachal Pradesh",5997,4941,2
"851",2020-05-26,"Arunachal Pradesh",6319,5083,2
"852",2020-05-27,"Arunachal Pradesh",6436,5405,2
"853",2020-05-28,"Arunachal Pradesh",6984,5677,3
"854",2020-05-29,"Arunachal Pradesh",7488,6268,3
"855",2020-05-30,"Arunachal Pradesh",8017,6675,4
"856",2020-05-31,"Arunachal Pradesh",8283,7012,4
"857",2020-06-01,"Arunachal Pradesh",8768,7528,22
"858",2020-06-02,"Arunachal Pradesh",9079,7806,28
"859",2020-06-03,"Arunachal Pradesh",9551,7927,38
"860",2020-06-04,"Arunachal Pradesh",10025,8552,43
"861",2020-06-05,"Arunachal Pradesh",10790,8877,46
"862",2020-06-06,"Arunachal Pradesh",11261,9350,49
"863",2020-06-07,"Arunachal Pradesh",11516,9921,51
"864",2020-06-08,"Arunachal Pradesh",12012,10376,57
"865",2020-06-09,"Arunachal Pradesh",12455,10642,57
"866",2020-06-10,"Arunachal Pradesh",13035,11420,61
"867",2020-06-11,"Arunachal Pradesh",13479,11754,67
"868",2020-06-12,"Arunachal Pradesh",14047,12119,87
"869",2020-06-13,"Arunachal Pradesh",14518,12817,88
"870",2020-06-15,"Arunachal Pradesh",15453,13610,95
"871",2020-06-16,"Arunachal Pradesh",16158,14339,99
"872",2020-06-17,"Arunachal Pradesh",16630,14698,103
"873",2020-06-18,"Arunachal Pradesh",16630,14698,103
"874",2020-06-19,"Arunachal Pradesh",18008,14698,135
"875",2020-06-20,"Arunachal Pradesh",18521,16827,135
"876",2020-06-21,"Arunachal Pradesh",19154,17100,139
"877",2020-06-22,"Arunachal Pradesh",19799,18123,148
"878",2020-06-23,"Arunachal Pradesh",20398,18571,158
"879",2020-06-24,"Arunachal Pradesh",20938,18979,160
"880",2020-06-25,"Arunachal Pradesh",21274,19298,172
"881",2020-06-26,"Arunachal Pradesh",21890,19877,174
"882",2020-06-27,"Arunachal Pradesh",22623,20209,177
"883",2020-06-28,"Arunachal Pradesh",23011,20673,182
"884",2020-06-29,"Arunachal Pradesh",23709,21408,187
"885",2020-06-30,"Arunachal Pradesh",24237,21766,191
"886",2020-07-01,"Arunachal Pradesh",24856,22443,195
"887",2020-07-02,"Arunachal Pradesh",25440,23025,232
"888",2020-07-03,"Arunachal Pradesh",25917,23486,252
"889",2020-07-04,"Arunachal Pradesh",26569,24025,259
"890",2020-07-05,"Arunachal Pradesh",26808,24466,269
"891",2020-07-06,"Arunachal Pradesh",27645,24900,270
"892",2020-07-07,"Arunachal Pradesh",28072,25649,276
"893",2020-07-08,"Arunachal Pradesh",28581,25996,287
"894",2020-07-09,"Arunachal Pradesh",29232,26707,302
"895",2020-07-10,"Arunachal Pradesh",29834,28023,335
"896",2020-07-11,"Arunachal Pradesh",30922,28711,341
"897",2020-07-12,"Arunachal Pradesh",31520,29296,359
"898",2020-07-13,"Arunachal Pradesh",32691,30725,387
"899",2020-07-14,"Arunachal Pradesh",33807,31688,462
"900",2020-07-15,"Arunachal Pradesh",34619,32450,491
"901",2020-07-16,"Arunachal Pradesh",35430,33222,543
"902",2020-07-17,"Arunachal Pradesh",36426,34040,609
"903",2020-07-18,"Arunachal Pradesh",38042,35471,650
"904",2020-07-19,"Arunachal Pradesh",39288,37032,740
"905",2020-07-20,"Arunachal Pradesh",40477,37752,790
"906",2020-07-21,"Arunachal Pradesh",41772,39116,858
"907",2020-07-22,"Arunachal Pradesh",44986,42369,949
"908",2020-07-23,"Arunachal Pradesh",48880,46332,991
"909",2020-07-24,"Arunachal Pradesh",53335,51033,1056
"910",2020-07-25,"Arunachal Pradesh",57861,55574,1126
"911",2020-07-26,"Arunachal Pradesh",59558,57541,1158
"912",2020-07-27,"Arunachal Pradesh",63784,61629,1239
"913",2020-07-28,"Arunachal Pradesh",68034,65962,1330
"914",2020-07-29,"Arunachal Pradesh",72739,70551,1410
"915",2020-07-30,"Arunachal Pradesh",77630,75572,1484
"916",2020-07-31,"Arunachal Pradesh",81865,77637,1591
"917",2020-08-01,"Arunachal Pradesh",86288,81988,1673
"918",2020-08-02,"Arunachal Pradesh",89031,84700,1698
"919",2020-08-03,"Arunachal Pradesh",91227,86828,1758
"920",2020-08-04,"Arunachal Pradesh",93365,91127,1790
"921",2020-08-05,"Arunachal Pradesh",95983,91164,1855
"922",2020-08-06,"Arunachal Pradesh",98733,93684,1948
"923",2020-08-07,"Arunachal Pradesh",101947,96758,2049
"924",2020-08-08,"Arunachal Pradesh",104833,99460,2117
"925",2020-08-09,"Arunachal Pradesh",106792,101265,2155
"926",2020-08-10,"Arunachal Pradesh",109863,104171,2231
"927",2020-08-11,"Arunachal Pradesh",112689,106807,2327
"928",2020-08-12,"Arunachal Pradesh",115758,109794,NA
"929",2020-08-13,"Arunachal Pradesh",118882,112767,NA
"930",2020-08-14,"Arunachal Pradesh",121371,115112,2607
"931",2020-08-15,"Arunachal Pradesh",122854,116538,2658
"932",2020-08-16,"Arunachal Pradesh",124786,118381,NA
"933",2020-08-17,"Arunachal Pradesh",127286,120729,NA
"934",2020-08-18,"Arunachal Pradesh",130246,123408,NA
"935",2020-08-19,"Arunachal Pradesh",133048,126085,NA
"936",2020-08-20,"Arunachal Pradesh",136092,128762,NA
"937",2020-08-21,"Arunachal Pradesh",138913,131556,NA
"938",2020-08-22,"Arunachal Pradesh",141655,134121,NA
"939",2020-08-23,"Arunachal Pradesh",143626,135812,NA
"940",2020-08-24,"Arunachal Pradesh",146012,138059,NA
"941",2020-08-25,"Arunachal Pradesh",149273,141127,NA
"942",2020-08-26,"Arunachal Pradesh",152852,144556,NA
"943",2020-08-27,"Arunachal Pradesh",155750,147281,NA
"944",2020-08-28,"Arunachal Pradesh",158993,150209,NA
"945",2020-08-29,"Arunachal Pradesh",161525,152666,NA
"946",2020-08-30,"Arunachal Pradesh",164524,155425,NA
"947",2020-08-31,"Arunachal Pradesh",167615,158324,NA
"948",2020-09-01,"Arunachal Pradesh",170445,160911,NA
"949",2020-09-02,"Arunachal Pradesh",173469,163658,NA
"950",2020-09-03,"Arunachal Pradesh",177259,167280,NA
"951",2020-09-04,"Arunachal Pradesh",180372,170070,NA
"952",2020-09-05,"Arunachal Pradesh",183390,172829,NA
"953",2020-09-06,"Arunachal Pradesh",185322,174589,NA
"954",2020-09-07,"Arunachal Pradesh",188435,177394,NA
"955",2020-09-08,"Arunachal Pradesh",191632,180193,NA
"956",2020-09-09,"Arunachal Pradesh",194647,182937,NA
"957",2020-09-10,"Arunachal Pradesh",197711,185795,NA
"958",2020-09-11,"Arunachal Pradesh",201010,188857,NA
"959",2020-09-12,"Arunachal Pradesh",203356,191018,NA
"960",2020-09-13,"Arunachal Pradesh",205519,192960,NA
"961",2020-09-14,"Arunachal Pradesh",208164,195308,NA
"962",2020-09-15,"Arunachal Pradesh",210345,197252,NA
"963",2020-09-16,"Arunachal Pradesh",214292,200905,NA
"964",2020-09-17,"Arunachal Pradesh",216202,202540,NA
"965",2020-09-18,"Arunachal Pradesh",218285,204350,NA
"966",2020-09-19,"Arunachal Pradesh",220706,206425,NA
"967",2020-09-20,"Arunachal Pradesh",222429,207925,NA
"968",2020-09-21,"Arunachal Pradesh",225328,210458,NA
"969",2020-09-22,"Arunachal Pradesh",228242,213033,NA
"970",2020-09-23,"Arunachal Pradesh",231045,215460,NA
"971",2020-09-24,"Arunachal Pradesh",233456,216919,NA
"972",2020-09-25,"Arunachal Pradesh",235979,219655,NA
"973",2020-09-26,"Arunachal Pradesh",238223,221576,NA
"974",2020-09-27,"Arunachal Pradesh",239900,223119,NA
"975",2020-09-28,"Arunachal Pradesh",242948,225773,NA
"976",2020-09-29,"Arunachal Pradesh",245788,228315,NA
"977",2020-09-30,"Arunachal Pradesh",248439,230620,NA
"978",2020-10-01,"Arunachal Pradesh",250993,232867,NA
"979",2020-10-02,"Arunachal Pradesh",253413,234989,NA
"980",2020-10-03,"Arunachal Pradesh",255951,237222,NA
"981",2020-10-04,"Arunachal Pradesh",257972,239060,NA
"982",2020-10-05,"Arunachal Pradesh",261029,241750,NA
"983",2020-10-06,"Arunachal Pradesh",263242,243642,NA
"984",2020-10-07,"Arunachal Pradesh",265870,245963,NA
"985",2020-10-08,"Arunachal Pradesh",268286,248047,NA
"986",2020-10-09,"Arunachal Pradesh",271035,250405,NA
"987",2020-10-10,"Arunachal Pradesh",273441,252475,NA
"988",2020-10-11,"Arunachal Pradesh",275319,254145,NA
"989",2020-10-12,"Arunachal Pradesh",277171,255649,NA
"990",2020-10-13,"Arunachal Pradesh",279792,257940,NA
"991",2020-10-14,"Arunachal Pradesh",283856,261730,NA
"992",2020-10-15,"Arunachal Pradesh",286572,264114,NA
"993",2020-10-17,"Arunachal Pradesh",291875,268732,NA
"994",2020-10-18,"Arunachal Pradesh",293164,269846,NA
"995",2020-10-19,"Arunachal Pradesh",296135,272412,NA
"996",2020-10-20,"Arunachal Pradesh",298490,274506,NA
"997",2020-10-21,"Arunachal Pradesh",300977,276756,NA
"998",2020-10-22,"Arunachal Pradesh",303101,278550,NA
"999",2020-10-23,"Arunachal Pradesh",304526,279778,NA
"1000",2020-10-24,"Arunachal Pradesh",305694,280771,NA
"1001",2020-10-25,"Arunachal Pradesh",306694,281697,NA
"1002",2020-10-26,"Arunachal Pradesh",308912,283634,NA
"1003",2020-10-27,"Arunachal Pradesh",310668,285259,NA
"1004",2020-10-28,"Arunachal Pradesh",312775,287150,NA
"1005",2020-10-29,"Arunachal Pradesh",314749,289094,NA
"1006",2020-10-30,"Arunachal Pradesh",316633,290828,NA
"1007",2020-10-31,"Arunachal Pradesh",318479,292467,NA
"1008",2020-11-01,"Arunachal Pradesh",319596,293500,NA
"1009",2020-11-02,"Arunachal Pradesh",321688,295438,NA
"1010",2020-11-03,"Arunachal Pradesh",324062,297660,NA
"1011",2020-11-04,"Arunachal Pradesh",325823,299275,NA
"1012",2020-11-05,"Arunachal Pradesh",327812,301137,NA
"1013",2020-11-06,"Arunachal Pradesh",329760,302951,NA
"1014",2020-11-07,"Arunachal Pradesh",331244,304308,NA
"1015",2020-11-08,"Arunachal Pradesh",332402,305367,NA
"1016",2020-11-09,"Arunachal Pradesh",334117,306990,NA
"1017",2020-11-10,"Arunachal Pradesh",336558,309285,NA
"1018",2020-11-11,"Arunachal Pradesh",338280,327363,NA
"1019",2020-11-12,"Arunachal Pradesh",339487,311977,NA
"1020",2020-11-13,"Arunachal Pradesh",341099,313459,NA
"1021",2020-11-14,"Arunachal Pradesh",341928,314213,NA
"1022",2020-11-15,"Arunachal Pradesh",342450,314677,NA
"1023",2020-11-16,"Arunachal Pradesh",343791,315797,NA
"1024",2020-11-17,"Arunachal Pradesh",345190,333989,NA
"1025",2020-11-18,"Arunachal Pradesh",346532,318507,NA
"1026",2020-11-19,"Arunachal Pradesh",347737,319640,NA
"1027",2020-11-20,"Arunachal Pradesh",348960,320812,NA
"1028",2020-11-21,"Arunachal Pradesh",350020,321808,NA
"1029",2020-11-22,"Arunachal Pradesh",350713,322474,NA
"1030",2020-11-23,"Arunachal Pradesh",351737,323427,NA
"1031",2020-11-24,"Arunachal Pradesh",353201,324803,NA
"1032",2020-11-25,"Arunachal Pradesh",354379,325921,NA
"1033",2020-11-26,"Arunachal Pradesh",355611,327088,NA
"1034",2020-11-27,"Arunachal Pradesh",356661,328110,NA
"1035",2020-11-28,"Arunachal Pradesh",357695,329110,NA
"1036",2020-11-29,"Arunachal Pradesh",358294,329702,NA
"1037",2020-11-30,"Arunachal Pradesh",359123,330517,NA
"1038",2020-12-01,"Arunachal Pradesh",360088,331468,NA
"1039",2020-12-02,"Arunachal Pradesh",361250,332605,NA
"1040",2020-12-03,"Arunachal Pradesh",362267,333591,NA
"1041",2020-12-04,"Arunachal Pradesh",363062,334363,NA
"1042",2020-12-05,"Arunachal Pradesh",363953,335236,NA
"1043",2020-12-06,"Arunachal Pradesh",364420,335692,NA
"1044",2020-12-07,"Arunachal Pradesh",365286,336535,NA
"1045",2020-12-08,"Arunachal Pradesh",365935,337159,NA
"1046",2020-12-09,"Arunachal Pradesh",366530,337727,NA
"1047",2020-12-10,"Arunachal Pradesh",367306,338485,NA
"1048",2020-12-11,"Arunachal Pradesh",367980,339141,NA
"1049",2020-12-12,"Arunachal Pradesh",368526,339675,NA
"1050",2020-12-13,"Arunachal Pradesh",368841,339985,NA
"1051",2020-12-14,"Arunachal Pradesh",369540,340661,NA
"1052",2020-12-15,"Arunachal Pradesh",370128,341231,NA
"1053",2020-12-16,"Arunachal Pradesh",370756,341838,NA
"1054",2020-12-17,"Arunachal Pradesh",371423,342475,NA
"1055",2020-12-18,"Arunachal Pradesh",371936,342979,NA
"1056",2020-12-19,"Arunachal Pradesh",372458,343483,NA
"1057",2020-12-20,"Arunachal Pradesh",372693,343717,NA
"1058",2020-12-21,"Arunachal Pradesh",373351,344351,NA
"1059",2020-12-22,"Arunachal Pradesh",373734,344729,NA
"1060",2020-12-23,"Arunachal Pradesh",374423,345406,NA
"1061",2020-12-24,"Arunachal Pradesh",375058,346032,NA
"1062",2020-12-25,"Arunachal Pradesh",375405,346379,NA
"1063",2020-12-26,"Arunachal Pradesh",375766,346731,NA
"1064",2020-12-27,"Arunachal Pradesh",376168,347131,NA
"1065",2020-12-28,"Arunachal Pradesh",376568,347523,NA
"1066",2020-12-29,"Arunachal Pradesh",377052,NA,NA
"1067",2020-12-30,"Arunachal Pradesh",377725,348665,NA
"1068",2020-12-31,"Arunachal Pradesh",378151,349083,NA
"1069",2021-01-01,"Arunachal Pradesh",378364,NA,NA
"1070",2021-01-02,"Arunachal Pradesh",378926,349850,NA
"1071",2021-01-03,"Arunachal Pradesh",379261,350180,NA
"1072",2021-01-04,"Arunachal Pradesh",379934,350884,NA
"1073",2021-01-05,"Arunachal Pradesh",381014,351921,NA
"1074",2021-01-06,"Arunachal Pradesh",381616,352513,NA
"1075",2021-01-07,"Arunachal Pradesh",382096,352989,NA
"1076",2021-01-08,"Arunachal Pradesh",382701,353587,NA
"1077",2021-01-09,"Arunachal Pradesh",383065,353948,NA
"1078",2021-01-10,"Arunachal Pradesh",383621,354499,NA
"1079",2021-01-11,"Arunachal Pradesh",384038,354911,NA
"1080",2021-01-12,"Arunachal Pradesh",384536,355404,NA
"1081",2021-01-13,"Arunachal Pradesh",385299,356166,NA
"1082",2021-01-14,"Arunachal Pradesh",386124,356976,NA
"1083",2021-01-15,"Arunachal Pradesh",386656,NA,NA
"1084",2021-01-16,"Arunachal Pradesh",387121,357963,NA
"1085",2021-01-17,"Arunachal Pradesh",387291,358130,NA
"1086",2021-01-18,"Arunachal Pradesh",387691,358529,NA
"1087",2021-01-19,"Arunachal Pradesh",388013,358848,NA
"1088",2021-01-20,"Arunachal Pradesh",388375,359210,NA
"1089",2021-01-21,"Arunachal Pradesh",388696,359530,NA
"1090",2021-01-22,"Arunachal Pradesh",389149,359982,NA
"1091",2021-01-23,"Arunachal Pradesh",389553,NA,NA
"1092",2021-01-24,"Arunachal Pradesh",389689,360519,NA
"1093",2021-01-25,"Arunachal Pradesh",390074,360903,NA
"1094",2021-01-26,"Arunachal Pradesh",390552,361080,NA
"1095",2021-01-27,"Arunachal Pradesh",390926,NA,NA
"1096",2021-01-28,"Arunachal Pradesh",391275,362097,NA
"1097",2021-01-29,"Arunachal Pradesh",391822,NA,NA
"1098",2021-01-30,"Arunachal Pradesh",392143,NA,NA
"1099",2021-01-31,"Arunachal Pradesh",392211,NA,NA
"1100",2021-02-01,"Arunachal Pradesh",392762,363583,NA
"1101",2021-02-02,"Arunachal Pradesh",393314,364134,NA
"1102",2021-02-03,"Arunachal Pradesh",393880,364700,NA
"1103",2021-02-04,"Arunachal Pradesh",394542,365362,NA
"1104",2021-02-05,"Arunachal Pradesh",395200,366020,NA
"1105",2021-02-06,"Arunachal Pradesh",395795,366614,NA
"1106",2021-02-07,"Arunachal Pradesh",395994,366813,NA
"1107",2021-02-08,"Arunachal Pradesh",397038,367856,NA
"1108",2021-02-09,"Arunachal Pradesh",397631,368449,NA
"1109",2021-02-10,"Arunachal Pradesh",398385,369203,NA
"1110",2021-02-11,"Arunachal Pradesh",398970,369787,NA
"1111",2021-02-12,"Arunachal Pradesh",399702,370519,NA
"1112",2021-02-13,"Arunachal Pradesh",400178,370995,NA
"1113",2021-02-14,"Arunachal Pradesh",400354,371171,NA
"1114",2021-02-15,"Arunachal Pradesh",400852,371668,NA
"1115",2021-02-16,"Arunachal Pradesh",401518,372334,NA
"1116",2021-02-17,"Arunachal Pradesh",402086,372902,NA
"1117",2021-02-18,"Arunachal Pradesh",402617,373430,NA
"1118",2021-02-19,"Arunachal Pradesh",403063,373876,NA
"1119",2021-02-20,"Arunachal Pradesh",403289,374102,NA
"1120",2021-02-21,"Arunachal Pradesh",403485,374298,NA
"1121",2021-02-22,"Arunachal Pradesh",403950,374763,NA
"1122",2021-02-23,"Arunachal Pradesh",404280,375093,NA
"1123",2021-02-24,"Arunachal Pradesh",404737,375550,NA
"1124",2021-02-25,"Arunachal Pradesh",404999,375812,NA
"1125",2021-02-26,"Arunachal Pradesh",405335,376071,NA
"1126",2021-02-27,"Arunachal Pradesh",405647,376383,NA
"1127",2021-02-28,"Arunachal Pradesh",405804,376540,NA
"1128",2021-03-01,"Arunachal Pradesh",406182,376917,NA
"1129",2021-03-02,"Arunachal Pradesh",406705,377439,NA
"1130",2021-03-03,"Arunachal Pradesh",407051,377785,NA
"1131",2021-03-04,"Arunachal Pradesh",407377,378111,NA
"1132",2021-03-05,"Arunachal Pradesh",407682,378415,NA
"1133",2021-03-06,"Arunachal Pradesh",408024,378756,NA
"1134",2021-03-07,"Arunachal Pradesh",408171,378903,NA
"1135",2021-03-08,"Arunachal Pradesh",408452,379184,NA
"1136",2021-03-09,"Arunachal Pradesh",408728,379460,NA
"1137",2021-03-10,"Arunachal Pradesh",409168,379899,NA
"1138",2021-03-11,"Arunachal Pradesh",409502,380233,NA
"1139",2021-03-12,"Arunachal Pradesh",409789,380520,NA
"1140",2021-03-13,"Arunachal Pradesh",409993,380724,NA
"1141",2021-03-14,"Arunachal Pradesh",410101,380832,NA
"1142",2021-03-15,"Arunachal Pradesh",410355,381086,NA
"1143",2021-03-16,"Arunachal Pradesh",410571,381301,NA
"1144",2021-03-17,"Arunachal Pradesh",410875,381605,NA
"1145",2021-03-18,"Arunachal Pradesh",411170,381906,NA
"1146",2021-03-19,"Arunachal Pradesh",411459,382188,NA
"1147",2021-03-20,"Arunachal Pradesh",411693,382422,NA
"1148",2021-03-21,"Arunachal Pradesh",411821,382550,NA
"1149",2021-03-22,"Arunachal Pradesh",411947,382676,NA
"1150",2021-03-23,"Arunachal Pradesh",412230,382959,NA
"1151",2021-03-24,"Arunachal Pradesh",412521,383250,NA
"1152",2021-03-25,"Arunachal Pradesh",412761,383490,NA
"1153",2021-03-26,"Arunachal Pradesh",413053,383781,NA
"1154",2021-03-27,"Arunachal Pradesh",413321,384046,NA
"1155",2021-03-28,"Arunachal Pradesh",413432,384157,NA
"1156",2021-03-29,"Arunachal Pradesh",413554,384279,NA
"1157",2021-03-30,"Arunachal Pradesh",413804,384529,NA
"1158",2021-03-31,"Arunachal Pradesh",413963,384688,NA
"1159",2021-04-01,"Arunachal Pradesh",414169,384894,NA
"1160",2021-04-02,"Arunachal Pradesh",414273,384997,NA
"1161",2021-04-03,"Arunachal Pradesh",414467,385188,NA
"1162",2021-04-04,"Arunachal Pradesh",414602,385323,NA
"1163",2021-04-05,"Arunachal Pradesh",414958,385677,NA
"1164",2021-04-06,"Arunachal Pradesh",415217,385934,NA
"1165",2021-04-07,"Arunachal Pradesh",415547,386256,NA
"1166",2021-04-08,"Arunachal Pradesh",416046,386738,NA
"1167",2021-04-09,"Arunachal Pradesh",416577,387272,NA
"1168",2021-04-10,"Arunachal Pradesh",416897,387589,NA
"1169",2021-04-11,"Arunachal Pradesh",417041,387729,NA
"1170",2021-04-12,"Arunachal Pradesh",417356,388038,NA
"1171",2021-04-13,"Arunachal Pradesh",417994,388661,NA
"1172",2021-04-14,"Arunachal Pradesh",418290,388947,NA
"1173",2021-04-15,"Arunachal Pradesh",418501,389150,NA
"1174",2021-04-16,"Arunachal Pradesh",419072,389693,NA
"1175",2021-04-17,"Arunachal Pradesh",419731,390330,NA
"1176",2021-04-18,"Arunachal Pradesh",419969,390548,NA
"1177",2021-04-19,"Arunachal Pradesh",421131,391644,NA
"1178",2021-04-20,"Arunachal Pradesh",423123,393575,NA
"1179",2021-04-21,"Arunachal Pradesh",425461,395839,NA
"1180",2021-04-22,"Arunachal Pradesh",428202,398469,NA
"1181",2021-04-23,"Arunachal Pradesh",431231,401354,NA
"1182",2021-04-24,"Arunachal Pradesh",434293,404295,NA
"1183",2021-04-25,"Arunachal Pradesh",436658,406585,NA
"1184",2021-04-26,"Arunachal Pradesh",440234,409987,NA
"1185",2021-04-27,"Arunachal Pradesh",443327,412948,NA
"1186",2021-04-28,"Arunachal Pradesh",447019,416471,NA
"1187",2021-04-29,"Arunachal Pradesh",450543,419790,NA
"1188",2021-04-30,"Arunachal Pradesh",453906,422980,NA
"1189",2021-05-01,"Arunachal Pradesh",457369,426217,NA
"1190",2021-05-02,"Arunachal Pradesh",459804,428546,NA
"1191",2021-05-03,"Arunachal Pradesh",463551,432062,NA
"1192",2021-05-04,"Arunachal Pradesh",467378,435648,NA
"1193",2021-05-05,"Arunachal Pradesh",470855,438895,NA
"1194",2021-05-06,"Arunachal Pradesh",474314,442129,NA
"1195",2021-05-07,"Arunachal Pradesh",477466,445102,NA
"1196",2021-05-08,"Arunachal Pradesh",480631,448014,NA
"1197",2021-05-09,"Arunachal Pradesh",482862,450118,NA
"1198",2021-05-10,"Arunachal Pradesh",485734,452781,NA
"1199",2021-05-11,"Arunachal Pradesh",488727,455567,NA
"1200",2021-05-12,"Arunachal Pradesh",492061,458616,NA
"1201",2021-05-13,"Arunachal Pradesh",495141,461437,NA
"1202",2021-05-14,"Arunachal Pradesh",497938,463963,NA
"1203",2021-05-15,"Arunachal Pradesh",500708,466473,NA
"1204",2021-05-16,"Arunachal Pradesh",502767,468349,NA
"1205",2021-05-17,"Arunachal Pradesh",506975,472242,NA
"1206",2021-05-18,"Arunachal Pradesh",511863,476764,NA
"1207",2021-05-19,"Arunachal Pradesh",516372,480928,NA
"1208",2021-05-20,"Arunachal Pradesh",520974,485146,NA
"1209",2021-05-21,"Arunachal Pradesh",525589,489363,NA
"1210",2021-05-22,"Arunachal Pradesh",530121,493576,NA
"1211",2021-05-23,"Arunachal Pradesh",533126,496350,NA
"1212",2021-05-24,"Arunachal Pradesh",539733,502474,NA
"1213",2021-05-25,"Arunachal Pradesh",546447,508750,NA
"1214",2021-05-26,"Arunachal Pradesh",553056,514977,NA
"1215",2021-05-27,"Arunachal Pradesh",560340,521814,NA
"1216",2021-05-28,"Arunachal Pradesh",568556,529524,NA
"1217",2021-05-29,"Arunachal Pradesh",575997,536497,NA
"1218",2021-05-30,"Arunachal Pradesh",580353,540676,NA
"1219",2021-05-31,"Arunachal Pradesh",585905,545903,NA
"1220",2021-06-01,"Arunachal Pradesh",592424,552041,NA
"1221",2021-06-02,"Arunachal Pradesh",599605,558835,NA
"1222",2021-06-03,"Arunachal Pradesh",607591,566447,NA
"1223",2021-06-04,"Arunachal Pradesh",616569,575014,NA
"1224",2021-06-05,"Arunachal Pradesh",624422,582526,NA
"1225",2021-06-06,"Arunachal Pradesh",630180,588052,NA
"1226",2021-06-07,"Arunachal Pradesh",638028,595531,NA
"1227",2020-04-02,"Assam",962,819,16
"1228",2020-04-10,"Assam",2863,2685,29
"1229",2020-04-11,"Assam",3011,2842,29
"1230",2020-04-12,"Assam",3138,2973,29
"1231",2020-04-14,"Assam",3491,3267,31
"1232",2020-04-15,"Assam",3613,3492,32
"1233",2020-04-16,"Assam",4108,3803,34
"1234",2020-04-17,"Assam",4236,4024,34
"1235",2020-04-18,"Assam",4400,4199,34
"1236",2020-04-19,"Assam",4865,4584,34
"1237",2020-04-20,"Assam",5112,4937,34
"1238",2020-04-21,"Assam",5514,5245,34
"1239",2020-04-24,"Assam",6680,6391,35
"1240",2020-04-25,"Assam",7159,6781,35
"1241",2020-04-26,"Assam",7823,7474,35
"1242",2020-04-27,"Assam",8117,7985,35
"1243",2020-04-29,"Assam",9520,8771,37
"1244",2020-05-02,"Assam",11623,10499,42
"1245",2020-05-04,"Assam",12775,11764,42
"1246",2020-05-05,"Assam",13442,12533,43
"1247",2020-05-09,"Assam",16167,15076,59
"1248",2020-05-10,"Assam",18002,16236,62
"1249",2020-05-11,"Assam",19589,17813,64
"1250",2020-05-12,"Assam",21791,19211,64
"1251",2020-05-14,"Assam",25824,23178,86
"1252",2020-05-15,"Assam",28178,25431,86
"1253",2020-05-16,"Assam",31276,28332,91
"1254",2020-05-17,"Assam",34376,32035,97
"1255",2020-05-18,"Assam",37898,35159,106
"1256",2020-05-19,"Assam",41116,38138,141
"1257",2020-05-20,"Assam",47084,42729,170
"1258",2020-05-21,"Assam",51730,46442,203
"1259",2020-05-22,"Assam",55791,50450,259
"1260",2020-05-23,"Assam",60405,54185,329
"1261",2020-05-24,"Assam",66444,58972,378
"1262",2020-05-25,"Assam",70029,62244,526
"1263",2020-05-26,"Assam",72654,66562,616
"1264",2020-05-29,"Assam",92390,84933,1024
"1265",2020-05-30,"Assam",101257,91248,1185
"1266",2020-05-31,"Assam",109097,101006,1272
"1267",2020-06-02,"Assam",120375,111229,1513
"1268",2020-06-03,"Assam",126726,117650,1672
"1269",2020-06-04,"Assam",133029,122618,1988
"1270",2020-06-06,"Assam",146605,136154,2397
"1271",2020-06-07,"Assam",153326,142192,2565
"1272",2020-06-09,"Assam",169842,159760,2937
"1273",2020-06-11,"Assam",181108,171070,3319
"1274",2020-06-12,"Assam",188090,177989,3498
"1275",2020-06-15,"Assam",217088,NA,4158
"1276",2020-06-16,"Assam",227109,NA,4319
"1277",2020-06-17,"Assam",235214,NA,4605
